Power type,Name,Model,Manufacturer,Build date,Units,Loco Weight (tons),Bogies,Axle Load,Fuel Capacity (L),Engine Type,Max.Speed (Km/h),Max.Power (hp),Tractive force (kN),Status
Diesel,WDM-1,FA,ALCo,1957-1959,100,111.2,Co-Co,18.6,6060,V12,104,1950,274,Retired
Diesel,WDM-2,DL560C,"ALCo, BLW",1962-1998,440,112.8,Co-Co,18.8,5000,V16,120,2600,298.12,Active
Diesel,WDM-2A,DL560C,"ALCo, BLW",1962-1998,340,112.8,Co-Co,18.8,5000,V16,120,2600,298.12,Active
Diesel,WDM-2B,DL560C,"ALCo, BLW",1962-1998,360,112.8,Co-Co,18.8,5000,V16,120,2600,298.12,Active
Diesel,Jumbo,DL560C,"ALCo, BLW",1962-1998,300,113,Co-Co,18.8,5000,V16,120,2600,295.12,Active
Diesel,WDM-3A,ALCo-DL560C,"BLW, DLMW",1994-2015,1402,112.8,Co-Co,18.8,5000,V16,120,3100,298.61,Active
Diesel,WDM-3B,ALCo-251C,"BLW, DLMW",2005-2006,23,117,Co-Co,19.5,5000,V16,120,3100,378.54,Active
Diesel,WDM-3C,ALCo-251C,BLW,2002,54,117,Co-Co,18.8,6000,V16,140,3300,323.91,Active
Diesel,WDM-3D,ALCo-251C,BLW,2003-2016,510,117,Co-Co,19.5,6000,V16,160,3300,353.33,Active
Diesel,WDM-3E,ALCo-251C,BLW,2008,8,118.2,Co-Co,19.7,6000,V16,120,3500,373,Active
Diesel,WDM-3F,ALCo-251C,BLW,2002,3,120,Co-Co,20,6000,V16,120,3600,373,Active
Diesel,WDM-4,GT16,EMD,1962,72,112.8,Co-Co,18.8,5000,V16,130,2600,276.55,Retired
Diesel,WDM-6,ALCo-251D,BLW,1981-1982,2,70,Co-Co,12,3000,Inline-6,70,1350,188.29,Retired
Diesel,WDM-7,ALCo-251B,BLW,1987-1989,15,96,Co-Co,17.8,5000,V12,105,2000,248.11,Active
Diesel,WDP-1,DL560C,BLW,1995-1999,69,80.1,Bo-Bo,20,5000,V12,140,2300,196.13,Active
Diesel,WDP-3A,DL560C,"BLW, DLMW",1998-2001,44,117,Co-Co,19.5,5000,V16,160,3100,298.61,Active
Diesel,WDP-4,GT46PAC,"EMD, BLW",2002-2011,100,115.8,Co-Co,19.5,5000,"V16, 2-stroke",160-180,4000,270.2,Active
Diesel,WDP-4B,GT46PAC,"EMD, BLW",2010-2014,86,121.2,Co-Co,20.2,6000,"V16, 2-stroke",130,4500,399.87,Active
Diesel,WDP-4D,GT46PAC,"EMD, BLW",2010-2018,525,123,Co-Co,20.5,6100,"V16, 2-stroke",135,4500,399.99,Active
Diesel,WDG-3A,ALCo-DL560C,BLW,1995-2010,1998,123,Co-Co,20.5,6000,V16,100,3100,371.67,Active
Diesel,WDG-3B,ALCo-DL560C,BLW,2004,4,123,Co-Co,20.5,6000,V16,110,3200,370,Active
Diesel,WDG-3C,ALCo-DL560C,BLW,2001,1,123,Co-Co,20.5,6000,V16,120,3300,371,Active
Diesel,WDG-3D,ALCo-DL560C,BLW,2001,1,123,Co-Co,20.5,6000,V16,110,3400,371.54,Active
Diesel,WDG-4,GT46MAC,"EMD, BLW",1997-1998,1188,126,Co-Co,21,6100,"V16, 2-stroke",105,4000,540,Active
Diesel,WDG-4D,GT46ACe,"EMD, BLW",2002-2017,583,126,Co-Co,21,6100,"V16, 2-stroke",105,4500,540,Active
Diesel,WDG-4G,GE ES4ACmi,DLF,2017,291,132,Co-Co,22,6300,"V12, 4-stroke",100,4500,405,Active
Diesel,WDG-5,GT50AC,"EMD, BLW",2012-2018,7,134,Co-Co,22.3,7500,710G3B-EC,105,5500,405,Active
Diesel,WDG-6G,GE ES57ACi,GE,2018,43,134,Co-Co,23,8135,"V16, 4-stroke",100,6000,569.77,Active
Diesel,WDS-5,DL-535D,ALCO,1967,21,126,Co-Co,21,5000,Inline-6,109,1065,361.75,Active
Diesel,WDS-6,ALCo-251D,BLW,1975+,300,113,Co-Co,21,3000,Inline-6,71,1400,333.43,Active
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
